baseline,cache_outcome,query_id,gt_score,gt_method,latency_s,cost_usd,input_tokens,output_tokens,executed,rejected,judge_verdict,stages_run,execution_path,plan_validation_stage_failed,plan_source,operators_used,ff_fast_path_used,ff_fast_path_latency_s,ff_fast_path_input_tokens,ff_fast_path_output_tokens,ff_fast_path_cost_usd,ff_planner_used,ff_planner_latency_s,ff_planner_input_tokens,ff_planner_output_tokens,ff_planner_cost_usd,s1_latency_s,s2_latency_s,s3_latency_s,guardrail_latency_s,cache_lookup_latency_s,cache_grounding_latency_s,cache_validation_latency_s,cache_rejection_latency_s,typed_exec_latency_s,agent_latency_s,s1_latency_ms,s2_latency_ms,s3_latency_ms,guardrail_latency_ms,cache_lookup_latency_ms,cache_grounding_latency_ms,cache_validation_latency_ms,cache_rejection_latency_ms,typed_exec_latency_ms,agent_latency_ms
FLASH_FUSION_CACHE,hit,1,1.0,llm_judge_score,1.357025146484375,0.0001183,1093,45,True,False,N/A,"semantic_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,semantic_cache_light_grounded,"FILTER_COMPARE,AGGREGATE_COLUMN",False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.010138624998944579,1.341524749997916,0.0005679579990101047,0.0,0.0043318749994796235,0.0,0.0,0.0,0.0,0.0,10.138624998944579,1341.524749997916,0.5679579990101047,0.0,4.3318749994796235,0.0
FLASH_FUSION_CACHE,hit,2,1.0,llm_judge_score,1.4005959033966064,0.0001177,1077,50,True,False,N/A,"semantic_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,semantic_cache_light_grounded,"FILTER_NOT_EMPTY,FILTER_COMPARE,COUNT_DISTINCT",False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.09952795899880584,0.993251332998625,0.00027512499946169555,0.0,0.3072879589999502,0.0,0.0,0.0,0.0,0.0,99.52795899880584,993.251332998625,0.27512499946169555,0.0,307.2879589999502,0.0
FLASH_FUSION_CACHE,hit,3,1.0,llm_judge_score,2.147106170654297,0.0001337,1103,117,True,False,N/A,"semantic_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,semantic_cache_light_grounded,"FILTER_COMPARE,FILTER_COMPARE,AGGREGATE_COLUMN",False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.11056941700007883,2.030308959001559,0.0004700419995060656,0.0,0.00528012499853503,0.0,0.0,0.0,0.0,0.0,110.56941700007883,2030.3089590015588,0.4700419995060656,0.0,5.28012499853503,0.0
FLASH_FUSION_CACHE,miss,4,1.0,llm_judge_score,2.626433849334717,0.000980304,3904,102,True,False,N/A,"cache_miss_or_validation_failure,guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"GROUP_AGGREGATE,RANK_GROUPS",False,0.0,0,0,0.0,True,2.6061198711395264,3904,102,0.000980304,0.0,0.0,0.0,2.6061367988586426,0.0013065839993942063,0.0,0.0,0.0,0.018321752548217773,0.0,0.0,0.0,0.0,2606.1367988586426,1.3065839993942063,0.0,0.0,0.0,18.321752548217773,0.0
FLASH_FUSION_CACHE,miss,5,1.0,llm_judge_score,5.309702157974243,0.00160017,3816,260,True,False,N/A,"cache_miss_or_validation_failure,guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"FILTER_NOT_EMPTY,DERIVE_VECTOR_MAGNITUDE,SPLIT_BY_VALUES,SPLIT_BY_VALUES,AGGREGATE_PARTITIONS,COMPARE_PARTITIONS",False,0.0,0,0,0.0,True,4.890545129776001,3816,260,0.00160017,0.0,0.0,0.0,4.890562057495117,0.001003124998533167,0.0,0.0,0.0,0.41727614402770996,0.0,0.0,0.0,0.0,4890.562057495117,1.003124998533167,0.0,0.0,0.0,417.27614402770996,0.0
FLASH_FUSION_CACHE,miss,6,1.0,llm_judge_score,8.381896734237671,0.00251706,8431,401,True,False,N/A,"cache_miss_or_validation_failure,guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"FILTER_NOT_EMPTY,DERIVE_DURATION_SECONDS,PARALLEL_AGGREGATE,DERIVE_BINARY,FILTER_COMPARE,RANK_ROWS",False,0.0,0,0,0.0,True,7.31192684173584,8431,401,0.00251706,0.0,0.0,0.0,7.311945915222168,0.0013304999993124511,0.0,0.0,0.0,1.0474388599395752,0.0,0.0,0.0,0.0,7311.945915222168,1.330499999312451,0.0,0.0,0.0,1047.4388599395752,0.0
FLASH_FUSION_CACHE,hit,7,1.0,llm_judge_score,1.8278791904449463,0.0001313,1141,86,True,False,N/A,"semantic_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,semantic_cache_light_grounded,"FILTER_COMPARE,FILTER_COMPARE,DERIVE_VECTOR_MAGNITUDE,AGGREGATE_COLUMN",False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.11364533300002222,1.671050875000219,0.0005207079993851949,0.0,0.04235416600204189,0.0,0.0,0.0,0.0,0.0,113.64533300002222,1671.050875000219,0.5207079993851949,0.0,42.35416600204189,0.0
FLASH_FUSION_CACHE,miss,8,1.0,llm_judge_score,6.8771772384643555,0.0015198499999999999,4974,309,True,False,N/A,"semantic_cache_hit,cache_light_grounding,cache_plan_validated,cache_miss_or_validation_failure,guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"FILTER_NOT_EMPTY,SPLIT_BY_VALUES,SPLIT_BY_VALUES,AGGREGATE_PARTITIONS,COMPARE_PARTITIONS",False,0.0,0,0,0.0,True,4.326414108276367,3807,206,0.00138255,0.0,0.0,0.0,4.326432943344116,0.11420929099767818,1.8255850839996128,0.00040366699977312237,0.0,0.6097008646393078,0.0,0.0,0.0,0.0,4326.432943344116,114.20929099767818,1825.5850839996128,0.40366699977312237,0.0,609.7008646393078,0.0
FLASH_FUSION_CACHE,hit,9,1.0,guardrail_skip_expected_rejection,0.756134033203125,3.76e-05,322,27,False,True,N/A,"exact_cache_hit_out_of_scope,cache_light_rejection_reason,cache_rejection_reason_ready",guardrail_reject,,exact_query_cache_out_of_scope,,False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0006112089977250434,0.0,0.0,0.7552440839972405,0.0,0.0,0.0,0.0,0.0,0.0,0.6112089977250434,0.0,0.0,755.2440839972405,0.0,0.0
FLASH_FUSION_CACHE,miss,10,1.0,guardrail_skip_expected_rejection,2.2481038570404053,0.000664014,1804,62,False,True,N/A,"cache_miss_or_validation_failure,guardrail_plan",guardrail_reject,,llm,,False,0.0,0,0,0.0,True,2.246509075164795,1804,62,0.000664014,0.0,0.0,0.0,2.246533155441284,0.0008632919998490252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2246.533155441284,0.8632919998490252,0.0,0.0,0.0,0.0,0.0
