baseline,query_id,gt_score,gt_method,latency_s,cost_usd,input_tokens,output_tokens,executed,rejected,judge_verdict,stages_run,s1_latency_s,s2_latency_s,s3_latency_s,guardrail_latency_s,agent_latency_s,s1_latency_ms,s2_latency_ms,s3_latency_ms,guardrail_latency_ms,agent_latency_ms
HARGPT_PAPER,1,1.0,llm_judge_score,67.32877278327942,0.07218648,122279,53,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HARGPT_PAPER,2,0.0,llm_judge_score,76.90171599388123,0.06681981999999999,112796,342,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HARGPT_PAPER,3,0.0,llm_judge_score,66.37918090820312,0.07247627,122651,142,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HARGPT_PAPER,4,0.0,llm_judge_score,76.25915002822876,0.06670882999999998,112794,203,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HARGPT_PAPER,5,0.0,llm_judge_score,305.35139298439026,0.06663279000000001,112795,106,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HARGPT_PAPER,6,0.0,llm_judge_score,24.973190784454346,0.06698312999999999,112805,542,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HARGPT_PAPER,7,0.0,llm_judge_score,48.05810594558716,0.07002362999999999,118656,21,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HARGPT_PAPER,8,0.0,llm_judge_score,24.864511013031006,0.06669991999999998,112803,185,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HARGPT_PAPER,9,0.0,llm_judge_score,7.40646505355835,0.06675641,112801,258,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HARGPT_PAPER,10,1.0,llm_judge_score,81.16717886924744,0.07098712,119886,322,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HARGPT_PAPER,11,1.0,llm_judge_score,55.28246569633484,0.06673508,112801,231,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HARGPT_PAPER,12,0.0,llm_judge_score,137.66764402389526,0.06811793,114794,493,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
