baseline,cache_outcome,query_id,gt_score,gt_method,latency_s,cost_usd,input_tokens,output_tokens,executed,rejected,judge_verdict,stages_run,execution_path,plan_validation_stage_failed,plan_source,operators_used,ff_planner_used,ff_planner_latency_s,ff_planner_input_tokens,ff_planner_output_tokens,ff_planner_cost_usd,guardrail_latency_s,cache_lookup_latency_s,cache_grounding_latency_s,cache_validation_latency_s,cache_rejection_latency_s,cache_retry_overhead_s,typed_exec_latency_s,agent_latency_s,guardrail_latency_ms,cache_lookup_latency_ms,cache_grounding_latency_ms,cache_validation_latency_ms,cache_rejection_latency_ms,cache_retry_overhead_ms,typed_exec_latency_ms,agent_latency_ms
FLASH_FUSION_CACHE,hit,1,1.0,llm_judge_score,0.7791640758514404,4.695e-05,859,40,True,False,N/A,"hybrid_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,semantic_cache_light_grounded,"FILTER_COMPARE,AGGREGATE_COLUMN",False,0.0,0,0,0.0,0.0,0.015267916999619047,0.7207137080004031,0.0015407500004585017,0.0,0.0,0.00324358400030178,0.0,0.0,15.267916999619047,720.7137080004031,1.5407500004585017,0.0,0.0,3.24358400030178,0.0
FLASH_FUSION_CACHE,hit,2,1.0,llm_judge_score,1.0985820293426514,4.395e-05,821,29,True,False,N/A,"hybrid_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,semantic_cache_light_grounded,"FILTER_NOT_EMPTY,FILTER_COMPARE,COUNT_DISTINCT",False,0.0,0,0,0.0,0.0,0.11053495899977861,0.5860488750004151,0.0839267919991471,0.0,0.0,0.28364158299973496,0.0,0.0,110.53495899977861,586.0488750004151,83.9267919991471,0.0,0.0,283.64158299973496,0.0
FLASH_FUSION_CACHE,hit,3,1.0,llm_judge_score,1.1597177982330322,4.95e-05,870,60,True,False,N/A,"hybrid_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,semantic_cache_light_grounded,"FILTER_COMPARE,FILTER_COMPARE,AGGREGATE_COLUMN",False,0.0,0,0,0.0,0.0,0.12660170899926015,0.9050534580001113,0.08739095900091343,0.0,0.0,0.003635709000263887,0.0,0.0,126.60170899926015,905.0534580001113,87.39095900091343,0.0,0.0,3.635709000263887,0.0
FLASH_FUSION_CACHE,hit,4,1.0,llm_judge_score,0.6789932250976562,5.955e-05,1137,27,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,exact_query_cache_light_grounded,"GROUP_AGGREGATE,RANK_GROUPS",False,0.0,0,0,0.0,0.0,0.00052670799959742,0.6297195420002026,0.00035324999953445513,0.0,0.0,0.01545404199987388,0.0,0.0,0.52670799959742,629.7195420002026,0.35324999953445513,0.0,0.0,15.45404199987388,0.0
FLASH_FUSION_CACHE,hit,5,1.0,llm_judge_score,1.573782205581665,6.615e-05,1147,88,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,exact_query_cache_light_grounded,"FILTER_NOT_EMPTY,DERIVE_VECTOR_MAGNITUDE,SPLIT_BY_VALUES,SPLIT_BY_VALUES,AGGREGATE_PARTITIONS,COMPARE_PARTITIONS",False,0.0,0,0,0.0,0.0,0.0005256249996818951,0.9659624169999006,0.16983104100017954,0.0,0.0,0.3996261249994859,0.0,0.0,0.5256249996818951,965.9624169999006,169.83104100017954,0.0,0.0,399.6261249994859,0.0
FLASH_FUSION_CACHE,miss,6,1.0,llm_judge_score,11.650640964508057,0.0026272599999999998,10337,550,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_miss_or_validation_failure,guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"FILTER_NOT_EMPTY,DERIVE_DURATION_SECONDS,PARALLEL_AGGREGATE,DERIVE_BINARY,FILTER_COMPARE,RANK_ROWS",True,9.183744192123413,8431,401,0.00251706,9.183759927749634,0.0005377500001486624,1.4332259170005273,0.00035895800010621315,0.0,0.0,0.9878020286560059,0.0,9183.759927749634,0.5377500001486624,1433.2259170005273,0.35895800010621315,0.0,0.0,987.8020286560059,0.0
FLASH_FUSION_CACHE,hit,7,1.0,llm_judge_score,3.4575321674346924,5.505e-05,981,60,True,False,N/A,"hybrid_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,semantic_cache_light_grounded,"FILTER_COMPARE,FILTER_COMPARE,DERIVE_VECTOR_MAGNITUDE,AGGREGATE_COLUMN",False,0.0,0,0,0.0,0.0,0.10806512500039389,0.7855215420004242,0.07018175099983637,0.0,0.0,0.04026245899967762,0.0,0.0,108.06512500039389,785.5215420004242,70.18175099983637,0.0,0.0,40.26245899967762,0.0
FLASH_FUSION_CACHE,hit,8,1.0,llm_judge_score,1.0373599529266357,5.74e-05,1026,61,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,exact_query_cache_light_grounded,"FILTER_NOT_EMPTY,SPLIT_BY_VALUES,SPLIT_BY_VALUES,AGGREGATE_PARTITIONS,COMPARE_PARTITIONS",False,0.0,0,0,0.0,0.0,0.000518042000294372,0.7789092499997423,0.15807937499994296,0.0,0.0,0.06475229200077592,0.0,0.0,0.518042000294372,778.9092499997423,158.07937499994296,0.0,0.0,64.75229200077592,0.0
FLASH_FUSION_CACHE,hit_rejected,9,1.0,guardrail_skip_expected_rejection,0.5576858520507812,1.795e-05,317,21,False,True,N/A,"exact_cache_hit_out_of_scope,cache_light_rejection_reason,cache_rejection_reason_ready",guardrail_reject,,exact_query_cache_out_of_scope,,False,0.0,0,0,0.0,0.0,0.0005417080001279828,0.0,0.0,0.5106230420005886,0.0,0.0,0.0,0.0,0.5417080001279828,0.0,0.0,510.6230420005886,0.0,0.0,0.0
FLASH_FUSION_CACHE,hit_rejected,10,1.0,guardrail_skip_expected_rejection,2.8878729343414307,1.775e-05,317,19,False,True,N/A,"semantic_cache_hit_out_of_scope,cache_light_rejection_reason,cache_rejection_reason_ready",guardrail_reject,,semantic_query_cache_out_of_scope,,False,0.0,0,0,0.0,0.0,2.347283750000315,0.0,0.00010958299935737159,0.4937969160000648,0.0,0.0,0.0,0.0,2347.283750000315,0.0,0.10958299935737159,493.7969160000648,0.0,0.0,0.0
