baseline,query_id,gt_score,gt_method,latency_s,cost_usd,input_tokens,output_tokens,executed,rejected,judge_verdict,stages_run,execution_path,plan_validation_stage_failed,plan_source,operators_used,ff_fast_path_used,ff_fast_path_latency_s,ff_fast_path_input_tokens,ff_fast_path_output_tokens,ff_fast_path_cost_usd,ff_planner_used,ff_planner_latency_s,ff_planner_input_tokens,ff_planner_output_tokens,ff_planner_cost_usd,s1_latency_s,s2_latency_s,s3_latency_s,guardrail_latency_s,typed_exec_latency_s,agent_latency_s,s1_latency_ms,s2_latency_ms,s3_latency_ms,guardrail_latency_ms,typed_exec_latency_ms,agent_latency_ms
FLASH_FUSION_CACHE,1,1.0,llm_judge_score,2.2104251384735107,0.0001188,1094,47,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,exact_query_cache_light_grounded,"FILTER_COMPARE,AGGREGATE_COLUMN",False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.027452,0.0,0.0,0.0,0.0,0.0,27.452,0.0
FLASH_FUSION_CACHE,2,1.0,llm_judge_score,2.7855398654937744,0.0003438,1099,47,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,exact_query_cache_light_grounded,"FILTER_COMPARE,AGGREGATE_COLUMN",False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.025606999999999998,0.0,0.0,0.0,0.0,0.0,25.607,0.0
FLASH_FUSION_CACHE,3,1.0,llm_judge_score,1.9039359092712402,0.0001167,1059,54,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,exact_query_cache_light_grounded,"FILTER_COMPARE,FILTER_COMPARE,COUNT_ROWS",False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.035466000000000004,0.0,0.0,0.0,0.0,0.0,35.466,0.0
FLASH_FUSION_CACHE,4,1.0,llm_judge_score,2.4865710735321045,0.0001237,1123,57,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,exact_query_cache_light_grounded,"FILTER_COMPARE,FILTER_NOT_EMPTY,AGGREGATE_COLUMN",False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.087948,0.0,0.0,0.0,0.0,0.0,87.948,0.0
FLASH_FUSION_CACHE,5,1.0,llm_judge_score,8.878413677215576,0.007125665000000001,7614,406,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_miss_or_validation_failure,guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"FILTER_COMPARE,FILTER_NOT_EMPTY,DERIVE_BIN,GROUP_AGGREGATE,AGGREGATE_GROUPS",False,0.0,0,0,0.0,True,4.032960891723633,6368,215,0.006962865,0.0,0.0,0.0,4.0329909324646,0.34635281562805176,0.0,0.0,0.0,0.0,4032.9909324645996,346.35281562805176,0.0
FLASH_FUSION_CACHE,6,1.0,llm_judge_score,6.173699140548706,0.0001584,1168,208,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,exact_query_cache_light_grounded,"PARALLEL_AGGREGATE,DERIVE_BINARY,RANK_ROWS",False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.591351,0.0,0.0,0.0,0.0,0.0,591.351,0.0
FLASH_FUSION_CACHE,7,1.0,llm_judge_score,9.201542854309082,0.0017458299999999999,7593,348,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_miss_or_validation_failure,guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"FILTER_COMPARE,FILTER_NOT_EMPTY,DERIVE_BIN,GROUP_AGGREGATE,RANK_GROUPS",False,0.0,0,0,0.0,True,4.343467950820923,6360,205,0.00159393,0.0,0.0,0.0,4.343523979187012,0.37549710273742676,0.0,0.0,0.0,0.0,4343.523979187012,375.49710273742676,0.0
FLASH_FUSION_CACHE,8,1.0,llm_judge_score,2.2552669048309326,0.0001194,1100,47,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_plan_validated,typed_exec",typed_operator_cache,,exact_query_cache_light_grounded,"FILTER_COMPARE,AGGREGATE_COLUMN",False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.026338,0.0,0.0,0.0,0.0,0.0,26.338,0.0
FLASH_FUSION_CACHE,9,1.0,guardrail_skip_expected_rejection,1.609584093093872,3.65e-05,325,20,False,True,N/A,"exact_cache_hit_out_of_scope,cache_light_rejection_reason,cache_rejection_reason_ready",guardrail_reject,,exact_query_cache_out_of_scope,,False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLASH_FUSION_CACHE,10,1.0,guardrail_skip_expected_rejection,1.535400152206421,3.56e-05,320,18,False,True,N/A,"exact_cache_hit_out_of_scope,cache_light_rejection_reason,cache_rejection_reason_ready",guardrail_reject,,exact_query_cache_out_of_scope,,False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLASH_FUSION_CACHE,11,1.0,guardrail_skip_expected_rejection,1.6356961727142334,3.65e-05,319,23,False,True,N/A,"exact_cache_hit_out_of_scope,cache_light_rejection_reason,cache_rejection_reason_ready",guardrail_reject,,exact_query_cache_out_of_scope,,False,0.0,0,0,0.0,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
