run_id,baseline,query_id,gt_score,gt_method,latency_s,cost_usd,input_tokens,output_tokens,executed,rejected,judge_verdict,stages_run,s1_latency_s,s2_latency_s,s3_latency_s,guardrail_latency_s,agent_latency_s,s1_latency_ms,s2_latency_ms,s3_latency_ms,guardrail_latency_ms,agent_latency_ms
1,HARGPT_PAPER,1,1.0,llm_judge_score,356.8839588165283,0.0722323,122279,111,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,HARGPT_PAPER,2,0.0,llm_judge_score,47.71409368515015,0.06677637,112796,287,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,HARGPT_PAPER,3,0.0,llm_judge_score,362.34761214256287,0.07254737,122651,232,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,HARGPT_PAPER,4,1.0,llm_judge_score,61.991355895996094,0.06696873999999998,112794,532,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,HARGPT_PAPER,5,0.0,llm_judge_score,2151.1567211151123,0.07949181999999999,112794,16384,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,HARGPT_PAPER,6,0.0,llm_judge_score,28.82929801940918,0.06668155,112804,161,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,HARGPT_PAPER,7,0.0,llm_judge_score,56.184093952178955,0.07002362999999999,118656,21,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,HARGPT_PAPER,8,0.0,llm_judge_score,60.449767112731934,0.06670248999999999,112802,189,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,HARGPT_PAPER,9,0.0,llm_judge_score,2239.563691139221,0.07949536,112800,16384,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,HARGPT_PAPER,10,1.0,llm_judge_score,116.62413287162781,0.07102662,119886,372,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,HARGPT_PAPER,11,1.0,llm_judge_score,69.21791982650757,0.06677557,112800,283,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,HARGPT_PAPER,12,0.0,llm_judge_score,87.83755207061768,0.06798520999999999,114794,325,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,HARGPT_PAPER,1,1.0,llm_judge_score,67.32877278327942,0.07218648,122279,53,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,HARGPT_PAPER,2,0.0,llm_judge_score,76.90171599388123,0.06681981999999999,112796,342,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,HARGPT_PAPER,3,0.0,llm_judge_score,66.37918090820312,0.07247627,122651,142,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,HARGPT_PAPER,4,0.0,llm_judge_score,76.25915002822876,0.06670882999999998,112794,203,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,HARGPT_PAPER,5,0.0,llm_judge_score,305.35139298439026,0.06663279000000001,112795,106,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,HARGPT_PAPER,6,0.0,llm_judge_score,24.973190784454346,0.06698312999999999,112805,542,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,HARGPT_PAPER,7,0.0,llm_judge_score,48.05810594558716,0.07002362999999999,118656,21,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,HARGPT_PAPER,8,0.0,llm_judge_score,24.864511013031006,0.06669991999999998,112803,185,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,HARGPT_PAPER,9,0.0,llm_judge_score,7.40646505355835,0.06675641,112801,258,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,HARGPT_PAPER,10,1.0,llm_judge_score,81.16717886924744,0.07098712,119886,322,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,HARGPT_PAPER,11,1.0,llm_judge_score,55.28246569633484,0.06673508,112801,231,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,HARGPT_PAPER,12,0.0,llm_judge_score,137.66764402389526,0.06811793,114794,493,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,HARGPT_PAPER,1,0.0,llm_judge_score,71.30987477302551,0.07862809,122299,8192,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,HARGPT_PAPER,2,0.0,llm_judge_score,308.6617829799652,0.06659230000000001,112796,54,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,HARGPT_PAPER,3,0.0,llm_judge_score,1435.1945910453796,0.07901667999999999,122651,8421,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,HARGPT_PAPER,4,0.0,llm_judge_score,0.0,0.0,0,0,False,False,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,HARGPT_PAPER,5,0.0,llm_judge_score,46.31662893295288,0.06665273999999999,112794,132,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,HARGPT_PAPER,6,0.0,llm_judge_score,1630.6267800331116,0.07949772000000001,112804,16384,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,HARGPT_PAPER,7,0.0,llm_judge_score,43.877321004867554,0.070026,118656,24,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,HARGPT_PAPER,8,0.0,llm_judge_score,52.487545013427734,0.06672204,112803,213,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,HARGPT_PAPER,9,1.0,llm_judge_score,12.52478313446045,0.06675245999999999,112801,253,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,HARGPT_PAPER,10,0.0,llm_judge_score,105.21251893043518,0.07125493,119886,661,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,HARGPT_PAPER,11,0.0,llm_judge_score,52.49758791923523,0.06671927999999999,112801,211,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,HARGPT_PAPER,12,0.0,llm_judge_score,67.89568495750427,0.06802707999999999,114794,378,False,False,N/A,"hargpt_scope,hargpt_wisdm_window,hargpt_wisdm_rewrite,hargpt_wisdm_infer,hargpt_wisdm_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
