run_id,baseline,query_id,gt_score,gt_method,latency_s,cost_usd,input_tokens,output_tokens,executed,rejected,judge_verdict,stages_run
1,FLASH_FUSION,1,1.0,llm_judge_score,17.51094388961792,0.00034884,452,104,True,False,,"S1,S2,S3,guardrail,agent"
1,FLASH_FUSION,2,1.0,llm_judge_score,17.515293836593628,0.00041283,531,126,True,False,,"S1,S2,S3,guardrail,agent"
1,FLASH_FUSION,3,1.0,llm_judge_score,18.597155809402462,0.0004786299999999,597,160,True,False,,"S1,S2,S3,guardrail,agent"
1,FLASH_FUSION,4,1.0,llm_judge_score,18.520505905151367,0.00054282,675,183,True,False,,"S1,S2,S3,guardrail,agent"
1,FLASH_FUSION,5,0.0,llm_judge_score,22.868751049041748,0.00095659,1146,355,True,False,,"S1,S2,S3,guardrail,agent"
1,FLASH_FUSION,6,0.0,llm_judge_score,18.74978518486023,0.00070218,842,260,True,False,,"S1,S2,S3,guardrail,agent"
1,FLASH_FUSION,7,0.0,llm_judge_score,18.60708498954773,0.00084911,925,384,True,False,,"S1,S2,S3,guardrail,agent"
1,FLASH_FUSION,8,1.0,llm_judge_score,17.18693709373474,0.00042703,539,138,True,False,,"S1,S2,S3,guardrail,agent"
1,FLASH_FUSION,9,1.0,guardrail_skip_expected_rejection,10.836868047714232,0.00051841,406,353,False,True,,"S1,S2,S3,guardrail"
1,FLASH_FUSION,10,1.0,guardrail_skip_expected_rejection,10.268051862716677,0.0005474099999999,419,380,False,True,,"S1,S2,S3,guardrail"
1,FLASH_FUSION,11,1.0,guardrail_skip_expected_rejection,9.738579273223875,0.00050167,387,346,False,True,,"S1,S2,S3,guardrail"
1,FLASH_FUSION,12,1.0,guardrail_skip_expected_rejection,9.628774166107178,0.00038672,310,258,False,True,,"S1,S2,S3,guardrail"
2,FLASH_FUSION,1,1.0,llm_judge_score,17.585864067077637,0.00034884,452,104,True,False,,"S1,S2,S3,guardrail,agent"
2,FLASH_FUSION,2,1.0,llm_judge_score,17.430519580841064,0.00044276,567,137,True,False,,"S1,S2,S3,guardrail,agent"
2,FLASH_FUSION,3,1.0,llm_judge_score,17.790627002716064,0.0004354999999999,548,142,True,False,,"S1,S2,S3,guardrail,agent"
2,FLASH_FUSION,4,1.0,llm_judge_score,18.482279300689697,0.00057315,709,196,True,False,,"S1,S2,S3,guardrail,agent"
2,FLASH_FUSION,5,0.0,guardrail_skip_unexpected_rejection,10.548294067382812,0.0005424099999999,444,355,False,True,,"S1,S2,S3,guardrail"
2,FLASH_FUSION,6,1.0,llm_judge_score,19.152517795562744,0.00069902,842,256,True,False,,"S1,S2,S3,guardrail,agent"
2,FLASH_FUSION,7,0.0,llm_judge_score,18.827389001846313,0.00074646,905,269,True,False,,"S1,S2,S3,guardrail,agent"
2,FLASH_FUSION,8,1.0,llm_judge_score,17.984620809555054,0.0004199399999999,531,135,True,False,,"S1,S2,S3,guardrail,agent"
2,FLASH_FUSION,9,1.0,guardrail_skip_expected_rejection,10.52781105041504,0.00050877,391,352,False,True,,"S1,S2,S3,guardrail"
2,FLASH_FUSION,10,1.0,guardrail_skip_expected_rejection,9.815873146057127,0.00046147,351,322,False,True,,"S1,S2,S3,guardrail"
2,FLASH_FUSION,11,1.0,guardrail_skip_expected_rejection,9.38738203048706,0.00030137,243,200,False,True,,"S1,S2,S3,guardrail"
2,FLASH_FUSION,12,0.0,llm_judge_score,18.568856239318848,0.0008160299999999,885,372,True,False,,"S1,S2,S3,guardrail,agent"
3,FLASH_FUSION,1,1.0,llm_judge_score,16.792211055755615,0.0003523899999999,454,107,True,False,,"S1,S2,S3,guardrail,agent"
3,FLASH_FUSION,2,1.0,llm_judge_score,17.02893900871277,0.00039629,511,120,True,False,,"S1,S2,S3,guardrail,agent"
3,FLASH_FUSION,3,1.0,llm_judge_score,17.825231790542603,0.00050738,631,171,True,False,,"S1,S2,S3,guardrail,agent"
3,FLASH_FUSION,4,1.0,llm_judge_score,18.119285106658936,0.00054341,676,183,True,False,,"S1,S2,S3,guardrail,agent"
3,FLASH_FUSION,5,0.0,guardrail_skip_unexpected_rejection,11.136615991592407,0.00075337,590,513,False,True,,"S1,S2,S3,guardrail"
3,FLASH_FUSION,6,1.0,llm_judge_score,18.72964358329773,0.0007433299999999,893,274,True,False,,"S1,S2,S3,guardrail,agent"
3,FLASH_FUSION,7,0.0,llm_judge_score,18.958432912826535,0.00078448,944,288,True,False,,"S1,S2,S3,guardrail,agent"
3,FLASH_FUSION,8,1.0,llm_judge_score,17.606109380722046,0.00040379,513,128,True,False,,"S1,S2,S3,guardrail,agent"
3,FLASH_FUSION,9,1.0,guardrail_skip_expected_rejection,11.029808044433594,0.0004711,370,320,False,True,,"S1,S2,S3,guardrail"
3,FLASH_FUSION,10,1.0,guardrail_skip_expected_rejection,10.275032997131348,0.00050147,388,345,False,True,,"S1,S2,S3,guardrail"
3,FLASH_FUSION,11,1.0,guardrail_skip_expected_rejection,9.737582921981812,0.0004297199999999,332,296,False,True,,"S1,S2,S3,guardrail"
3,FLASH_FUSION,12,1.0,guardrail_skip_expected_rejection,9.383846998214722,0.00035262,283,235,False,True,,"S1,S2,S3,guardrail"
