query_id,query_text,gt_expected_rejection,rebuilt_expected_rejection,expected_rejection_match,semantic_similarity,gt_reference_answer,rebuilt_reference_answer,sanity_flag
1,What is the minimum MLII value recorded for record_id 101?,False,False,True,1.0,Minimum MLII for record_id 101 is -3.1750.,Minimum MLII for record_id 101 is -3.1750.,ok
2,What is the total recording duration in seconds (maximum time_s) for record_id 234?,False,False,True,1.0,Total recording duration for record_id 234 is 1805.5528 seconds.,Total recording duration for record_id 234 is 1805.5528 seconds.,ok
3,How many samples in record_id 106 have an MLII value greater than 0?,False,False,True,1.0,record_id 106 has 111769 samples with MLII > 0.,record_id 106 has 111769 samples with MLII > 0.,ok
4,What is the timestamp (time_s) of the very last annotated beat in record_id 221?,False,False,True,1.0,The last annotated beat in record_id 221 occurs at time_s = 1805.027778.,The last annotated beat in record_id 221 occurs at time_s = 1805.027778.,ok
5,Estimate the average heart rate in beats per minute for record_id 208 based on its total number of annotations and its maximum time_s.,False,False,True,1.0,"record_id 208 has 3040 annotated beats over 1805.5528 seconds, giving an estimated average heart rate of 101.02 BPM.","record_id 208 has 3040 annotated beats over 1805.5528 seconds, giving an estimated average heart rate of 101.02 BPM.",ok
6,Which record_id exhibits the largest peak-to-peak MLII amplitude (difference between maximum and minimum MLII)?,False,False,True,1.0,record_id 116 has the largest peak-to-peak MLII amplitude at 10.2350.,record_id 116 has the largest peak-to-peak MLII amplitude at 10.2350.,ok
7,"For record_id 101, which 10-second interval contains the highest number of annotated beats?",False,False,True,1.0,"The 10-second interval [110s, 120s) contains the highest number of annotated beats for record_id 101 with 15 beats.","The 10-second interval [110s, 120s) contains the highest number of annotated beats for record_id 101 with 15 beats.",ok
8,Calculate the root mean square (RMS) of the MLII signal for record_id 106.,False,False,True,1.0,The RMS of the MLII signal for record_id 106 is 0.4088.,The RMS of the MLII signal for record_id 106 is 0.4088.,ok
9,Did the patient corresponding to record_id 101 experience a fatal cardiac event within a year?,True,True,True,1.0,Reject: patient outcome and mortality data are unavailable in this ECG dataset.,Reject: patient outcome and mortality data are unavailable in this ECG dataset.,ok
10,Is there a statistical correlation between patient BMI and their maximum MLII amplitude?,True,True,True,1.0,Reject: BMI and anthropometric metadata are unavailable in this ECG dataset.,Reject: BMI and anthropometric metadata are unavailable in this ECG dataset.,ok
11,Which patients in this dataset have a recorded family history of atrial fibrillation?,True,True,True,1.0,Reject: family medical history is unavailable in this ECG dataset.,Reject: family medical history is unavailable in this ECG dataset.,ok
12,Estimate the patient's blood pressure during the time of the recording for record_id 105.,True,True,True,1.0,Reject: hemodynamic variables such as blood pressure are unavailable in this ECG dataset.,Reject: hemodynamic variables such as blood pressure are unavailable in this ECG dataset.,ok
13,"Write a Python script implementing the Pan-Tompkins algorithm on the raw MLII signal for record_id 101 to detect R-peaks without relying on annotations, and output the total count of detected peaks.",False,False,True,1.0,Pan-Tompkins-style processing on record_id 101 MLII detects 948 R-peaks.,Pan-Tompkins-style processing on record_id 101 MLII detects 948 R-peaks.,ok
14,Write a Python script implementing a machine learning model trained on the first 10 minutes of the V1 signal for record_id 208 to predict the occurrence of an annotation in a 5-second window. Output the predicted total number of annotations in the final 2 minutes of the record.,False,False,True,1.0,Predicted annotation count in the final 2 minutes of record_id 208 is 23 using single-class fallback (all train windows had one class); predicted class=1 for all final windows trained on the first 10 minutes with 5-second windows.,Predicted annotation count in the final 2 minutes of record_id 208 is 23 using single-class fallback (all train windows had one class); predicted class=1 for all final windows trained on the first 10 minutes with 5-second windows.,ok
15,"Write a Python script to extract frequency-domain features from the MLII signal in 10-second tumbling windows for record_id 101, and use K-Means (k=2) to cluster the windows. Output the exact time_s of the first window assigned to the minority (anomalous) cluster.",False,False,True,1.0,The first minority-cluster window start time is time_s=90.000 using 10-second FFT-feature windows and K-Means(k=2).,The first minority-cluster window start time is time_s=90.000 using 10-second FFT-feature windows and K-Means(k=2).,ok
16,Write a Python script to train a 1D-CNN classifier using both MLII and V1 signals from record_id 101 to classify 10-second windows as containing an annotation or not. Apply this model to record_id 208 and output the classification accuracy score against the actual annotations.,False,False,True,1.0,1D-CNN classification accuracy on record_id 208 is 1.0000 when trained on record_id 101 using 10-second MLII+V1 windows.,1D-CNN classification accuracy on record_id 208 is 1.0000 when trained on record_id 101 using 10-second MLII+V1 windows.,ok
